Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
trial_count,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
block_count,-1,-1,-1,-1,0,0,0,0,1,1,1,1,2,2,3,3,3,3,4,4,4,4
subjectID,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806,PR272584806
prolificID,,,,,,,,,,,,,,,,,,,,,,
experiment_version, , , , , , , , , , , , , , , , , , , , , , 
experiment_version_date,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10,2020/02/10
experiment_condition,,,,,,,,,,,,,,,,,,,,,,
trialType_order,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all
scoreRule_order,,,,,,,,,,,,,,,,,,,,,,
attempts,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810
CUREC_ID,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001,R67369/RE001
CUREC_version,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CUREC_date,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12,2018/11/12
PIS_version,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PIS_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
PIS_acknowledged,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
consent_version,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
consent_date,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01,2020/01/01
consented,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
age,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
gender,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other
handedness,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right
demographicsRTs,4192,4192,4192,4192,3030,3030,3030,3030,3209,3209,3209,3209,,,,,,,,,,
demographics_duration,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432,10432
dots_accuracy,100,100,100,100,75,75,75,75,75,75,75,75,100,100,100,100,100,100,50,50,50,50
dots_staircase,100,100,100,100,100,100,100,100,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,67.03200460356392,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155,44.932896411722155
dots_majoritySide,left,right,right,left,left,left,left,right,right,right,left,left,left,left,left,left,left,left,right,right,right,right
dots_confidences,,,,,75,64,70,32,32,62,95,77,77,47,87,73,82,74,27,29,34,64
initial_choices,correct,correct,correct,correct,correct,correct,correct,false,false,correct,correct,correct,correct,false,correct,correct,correct,correct,false,false,false,false
partner_confidences,50,50,50,50,50,50,50,50,21,86,85,91,88,88,44,59,60,31,61,58,74,54
dots_pairs,"[300,200]","[200,300]","[200,267]","[267,200]","[245,200]","[245,200]","[237,200]","[200,237]","[200,245]","[200,255]","[255,200]","[250,200]","[250,200]","[245,200]","[250,200]","[250,200]","[245,200]","[245,200]","[200,241]","[200,245]","[200,250]","[200,255]"
dots_isCorrect,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,false,false,false,true
dots_jointCorrect,,,,,,,,,false,true,true,true,true,true,true,true,true,true,false,false,true,true
dots_RTs,357,426,451,500,293,386,633,579,318,773,405,589,308,560,389,492,373,356,338,479,314,385
dots_waitTimes,1663,1728,1755,1803,3408,3958,3815,15109,657639,5250,5190,5049,6113,4615,93635,4215,4449,4837,4001,5343,4853,4504
technical_issues,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
feedback_strategy,,,,,,,,,,,,,,,,,,,,,,
feedback_technical,,,,,,,,,,,,,,,,,,,,,,
feedback_comments,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl,nl
debriefing,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged,acknowledged
feedback_ratings,,,,,,,,,,,,,,,,,,,,,,
dots_overallAccuracy,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
bonus_earned,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
date_completed,11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time),11:48:30 GMT+0000 (Greenwich Mean Time)
duration,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54,20:54
